country,updated_country,Country Code (ISO 3166-1 alpha-3),Year,gold,silver,bronze,total,medal_sum,check,GDP,HDI,LE,EYS,MYS,GNIPC,MMR,PHDI,CO2_PROD,BMI_underweight,BMI_obesity,BMI_morbid_obesity,Mean_Height,Diabetes_in_18+,Diabetes_treated_in_30+,non-HDL_cholesterol,HDL_cholesterol,Raised_blood_pressure,Hypertension,cluster
Great Britain,Great Britain,GBR,2012,48,30,48,126,126,True,45719.02442950933,0.90775,80.2595,16.128339765,13.0741676375,42107.770260000005,9.8032877605,0.8035,8.08570581925,0.0140306052520259,0.2509753028752143,0.0258048086517454,170.3276593625,0.0629053372449682,0.500366687161593,3.637055262897427,1.4656008092138038,0.1753480033635283,0.2923689394656787,0
Greece,Greece,GRC,2000,4,6,8,18,18,True,18323.89803076134,0.8,78.21424999999999,13.9847772125,8.6627628975,26702.53846,4.086135253,0.6865000000000001,8.699264198000002,0.0201900925416312,0.1851182211685449,0.0123243207807387,171.13238761666668,0.0628694886977248,0.5038173738609342,3.743694323055664,1.359065390400269,0.2562450958659757,0.3598558779050981,0
Greece,Greece,GRC,2004,8,18,5,31,31,True,16952.66281591388,0.83175,78.80275,15.37400508,9.2414599655,30647.3883975,3.64678675225,0.698,9.530933613,0.0188141922620763,0.2097051183453005,0.0155821378407688,171.32609474166668,0.0680321342011749,0.5377655832966158,3.6272065513639222,1.374208316848215,0.2377640603952429,0.357686102502,0
Greece,Greece,GRC,2008,0,3,4,7,7,True,26184.98833563827,0.8635,79.5495,16.719867707499997,9.8782813635,35271.00616,3.26204468625,0.70825,10.13691931625,0.0176767425033418,0.2311900070547755,0.0190412139927209,171.19828545,0.0714027994512773,0.5747276061209534,3.5665031037328436,1.3896129683609275,0.2214832487864427,0.3525811499129861,0
Greece,Greece,GRC,2012,0,0,3,3,3,True,27654.810817815,0.87225,80.35125,17.054749965,10.1937457925,33419.2353375,3.378157361,0.741,9.21951743075,0.0168544550304714,0.2487408190386026,0.0225594186283136,171.170252575,0.0724319851675233,0.6127704581861432,3.532559218917495,1.4072282146548711,0.2064472270953263,0.3407168114631381,0
Grenada,Grenada,GRD,2000,0,0,0,0,0,True,4691.415570016425,0.7693333333333334,72.65175,15.4609811675,9.641265690583332,8974.0608125,46.9635240475,0.6865000000000001,1.6346147475,0.0579569544474421,0.1604988759995394,0.0199591904636778,169.32023078333333,0.1119211986728183,0.4160184391583175,3.260900125437226,1.191695493415235,0.2488800515343404,0.4158673997695999,0
Grenada,Grenada,GRD,2004,0,0,0,0,0,True,5525.632379475398,0.759,73.06400000000001,15.75255967,9.6174836045,10250.92037175,38.2674679775,0.698,1.8641051265,0.049734102163262,0.1891617377123718,0.0244463507634561,169.55793655833332,0.1286431014298917,0.4240405452928342,3.295957935892205,1.1892060519218612,0.2464335454062884,0.4311546637030377,0
Grenada,Grenada,GRD,2008,0,0,0,0,0,True,6390.520083971484,0.7692500000000001,73.3315,16.049637049999998,9.63886635,12019.37524,33.0257381575,0.70825,2.01142458525,0.0446496150353653,0.2142850985466171,0.028916973897947,169.77140175,0.1450294483845965,0.4269248859075647,3.3384023747473597,1.1830532962136375,0.2436583344971042,0.4464144942074791,0
Grenada,Grenada,GRD,2012,1,0,0,1,1,True,6379.327534779132,0.77975,74.9965,16.352766505,9.66744711725,11886.1210625,27.4505779525,0.741,2.2403268125,0.041449081284657,0.2386420078640125,0.034070664374365,170.14426594583333,0.1618788888056166,0.4265971707723058,3.393086622350424,1.1735415715230126,0.2423113874093828,0.4580718249992562,0
Guatemala,Guatemala,GTM,2000,0,0,0,0,0,True,3443.41292287957,0.53125,65.8455,7.793482133499999,3.7423421965,6175.8606845,173.47152427499998,0.5195000000000001,0.71164405875,0.0241959395373703,0.1183306992515234,0.0056895510281984,155.57833298666665,0.1088622458639158,0.286759799696258,3.432219829583326,1.024371004294225,0.2288905479168469,0.2819881745833305,1
Guatemala,Guatemala,GTM,2004,0,0,0,0,0,True,2961.471055915604,0.5585,68.14375,8.799101022250001,3.8610014605,6476.058397,144.9350495,0.54375,0.8469305669999999,0.0202767655394212,0.1448295758527301,0.0074780942266368,155.62618667916666,0.1280455130394961,0.3026584812084325,3.4564708681881298,1.0283327206877175,0.2244329174161807,0.2896016664476132,1
Guatemala,Guatemala,GTM,2008,0,0,0,0,0,True,3175.1415185157625,0.5784999999999999,69.56125,9.8849672335,3.73739403475,6779.1066935,140.04326445,0.5609999999999999,0.8966328567499999,0.0185775930059648,0.1691868648440348,0.0094903797822893,155.73707457083333,0.1497346205064037,0.317428991856114,3.473467269581235,1.0224826473325537,0.2206159995381077,0.299104385773581,1
Guatemala,Guatemala,GTM,2012,0,1,0,1,1,True,3290.940239013881,0.60875,70.763,10.8968337775,4.32245677725,7207.144925,126.301812425,0.589,0.775575216,0.0181250978296106,0.1949626953563944,0.0121462217193113,156.10767769583333,0.1723040971825877,0.3335825797088965,3.482991769578714,1.0078654058297962,0.2165389649952691,0.3088038309938836,1
Hungary,Hungary,HUN,2000,25,24,4,53,53,True,11712.333132038217,0.75275,70.88975,13.3915002325,9.998175447,16625.285725,16.4778231975,0.6932499999999999,6.035813499,0.0250314728000354,0.1731529486413477,0.0114408295041894,168.46845524333335,0.0664665443308355,0.4593646041136958,4.102767559961412,1.3355210671788442,0.3727447807468519,0.4899673285200435,0
Hungary,Hungary,HUN,2004,24,12,4,40,40,True,10353.394645257456,0.786,72.29325,14.86910987,10.3337942,19537.171135,13.8767893375,0.7184999999999999,5.894154116,0.0243346280885592,0.2002528324596402,0.0145375797797573,168.6332016375,0.071277993305864,0.4982488039014039,3.977648228638181,1.3506202363065412,0.3506157469158181,0.4866866123110285,0
Hungary,Hungary,HUN,2008,16,8,3,27,27,True,16045.97925475531,0.8105,73.13675,15.36328745,10.9786883575,23021.2662275,13.31510487,0.72725,5.9352360635,0.0234935482035185,0.2254622549787188,0.017628295736317,168.73334827916665,0.077090045731002,0.5330588080355647,3.866648607276596,1.3597355132091125,0.333586029354997,0.4888057004172926,0
Hungary,Hungary,HUN,2012,12,8,5,25,25,True,16503.248779505957,0.8280000000000001,74.39475,15.460559845,11.794743360000002,23575.99257,14.7420330825,0.75575,5.283380993,0.0228264589224209,0.2504068153360499,0.0210167197903706,168.86710772083333,0.0841929786936808,0.5662357958768647,3.7644692619407274,1.3665446912467565,0.3179063932564707,0.4894815961308043,0
Iceland,Iceland,ISL,2000,0,0,1,1,1,True,71968.34802236702,0.8772500000000001,79.0735,16.462582587500002,11.4178155225,35410.53216249999,5.75543248475,0.7047499999999999,9.72123209125,0.0188828583202138,0.1383847532822323,0.0083076030880033,174.08082764666668,0.0390552912612706,0.4215314568519289,4.179350742438053,1.365757305337323,0.2727981251329621,0.3382351066013214,0
